seed mass,whole plant height,leaf photosynthetic rate per leaf dry mass,leaf area per leaf dry mass,leaf nitrogen content per leaf dry mass,leaf phosphorus content per leaf dry mass,Species
2.611,0.6,NA,NA,NA,NA,Centaurea nigrescens
5.9216875,0.3968508387096774,NA,19.63091222222222,NA,NA,Centaurea scabiosa
0.013333333333333334,0.18125,NA,22.418888888888887,NA,NA,Centaurium erythraea
0.28966237931034483,0.4700857142857143,NA,47.17644013840909,32.111113333333336,0.80499306,Cerastium arvense
0.140399,0.3551585128205128,NA,38.26191791854546,24.1,NA,Cerastium fontanum
0.05392266666666667,0.2185,NA,22.427733333333332,NA,NA,Cerastium glomeratum
2.0118,0.515625,NA,27.566666666666666,NA,NA,Chaerophyllum temulum
0.245,NA,NA,NA,20.91,1.73,Chamaenerion angustifolium
0.7034537804878048,1.4123529411764706,0.36897683150000005,22.864172919821428,34.11943,NA,Chenopodium album
2.680142857142857,0.3775,NA,36.7,NA,NA,Circaea lutetiana
1.2434702272727274,0.7800302727272728,NA,15.333339296666667,21.916435,NA,Cirsium arvense
1.7133333333333334,0.7046666666666667,NA,17.25154896,NA,NA,Cirsium palustre
3.26,0.5,NA,11.698,NA,NA,Cirsium tuberosum
2.6075565333333333,0.8954694285714285,NA,14.778054846548388,NA,NA,Cirsium vulgare
2.7325,0.27444444444444444,NA,22.5,NA,NA,Conopodium majus
18.37666666666667,0.20745454545454545,0.425905413,28.73915323185185,48.5868675,NA,Convolvulus arvensis
1096.2313141666666,4.144575757575757,0.08245,19.432665312486485,24.8,1.7,Corylus avellana
NA,9.144,NA,NA,NA,NA,Crataegus marshallii
163.82137894736843,6.403431777777778,0.13440428514285713,10.891809131260741,18.103358571428572,1.3,Crataegus monogyna
111.37666666666667,10,NA,11.36363636,NA,NA,Crataegus rhipidophylla
0.22764399999999999,0.17442222222222223,NA,42.2164184,NA,NA,Crepis capillaris
NA,0.225,NA,NA,NA,NA,Crepis mollis
0.56,0.45,NA,37,NA,NA,Crepis paludosa
0.32699999999999996,0.25316666666666665,NA,28.62791891891892,NA,NA,Crepis vesicaria
0.4930529230769231,0.4335252727272727,NA,22.94681128894737,NA,NA,Cynosurus cristatus
0.8466446545454546,0.27101383,0.129278072,25.61809450783784,27.59654443333333,NA,Dactylis glomerata
0.25475,0.22313333333333332,NA,17.227321914644445,20.683335,1.12962855,Deschampsia cespitosa
0.5283333333333333,0.10958333333333334,NA,17.26606451612903,NA,NA,Deschampsia flexuosa
0.522,0.19,NA,35.038,NA,NA,Digitaria sanguinalis
19.706,2.1875,NA,30.3,NA,NA,Dioscorea communis
2.6726666666666667,0.95,NA,20.076716665,NA,NA,Dipsacus fullonum
NA,0.375,0.10612755,35.00407777777778,25.90515,NA,Dryopteris carthusiana
0.795135,0.7375,NA,20.07402814,14.5,NA,Eleocharis palustris
2.63,0.805,NA,27.85,NA,NA,Elymus caninus
3.814084,0.65500725,NA,24.497930718285716,21.951701333333332,1.57,Elymus repens
0.11,0.15625,NA,NA,NA,NA,Epilobium alsinifolium
0.09148375,0.855,NA,41.873664166666664,NA,NA,Epilobium ciliatum
0.10133333333333333,1.0214545454545454,NA,26.243554866666667,NA,NA,Epilobium hirsutum
0.12333333333333334,0.39444444444444443,NA,30.252916666666668,NA,NA,Epilobium montanum
0.045,0.325,NA,35.09430196785714,NA,NA,Epilobium palustre
0.08,0.4666666666666667,NA,29.775,NA,NA,Epilobium parviflorum
0.114,0.465625,NA,15.9,NA,NA,Epilobium tetragonum
NA,1,NA,10.978076365,NA,NA,Equisetum fluviatile
0.08499999999999999,0.48214285714285715,0.019635,9.05700112866817,10.4,0.9,Erica cinerea
0.0228,0.405,NA,11.01625,NA,NA,Erica tetralix
0.03,0.7635714285714286,NA,25.02,NA,NA,Erigeron annuus
0.985,0.41875,0.11019999999999999,9.793292452202616,17.9625,1.7,Eriophorum vaginatum
26.723333333333333,0.375,NA,NA,NA,NA,Fagopyrum esculentum
19.35,0.5,NA,NA,NA,NA,Fagopyrum tataricum
246.21808155555556,23.93470588235294,0.14628,15.131208691436793,22.533333333333335,1.75,Fagus sylvatica
3.42,0.6958333333333333,NA,23.875,NA,NA,Fallopia convolvulus
3.12,1.10625,NA,28.733333333333334,NA,NA,Festuca gigantea
0.4911884615384615,0.180625,NA,15.112068965517242,10.4,1.01,Festuca ovina
2.299936307692308,0.46075,NA,21.011905226057692,NA,NA,Festuca pratensis
